"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2010-01",DEP,Department of Environmental Protection,11265,297.88
"2010-01",DOT,Department of Transportation,25184,167.46
"2010-01",DSNY,Department of Sanitation,16989,519.94
"2010-01",HPD,Department of Housing Preservation and Development,81673,314.14
"2010-01",HPD,HPD,1,0.11
"2010-01",NYPD,Investigation Review Section,1,5.76
"2010-01",NYPD,New York City Police Department,20782,3.15
"2010-02",DEP,Department of Environmental Protection,8947,346.97
"2010-02",DOT,Department of Transportation,23808,185.14
"2010-02",DSNY,Department of Sanitation,20986,264.90
"2010-02",HPD,Department of Housing Preservation and Development,59772,284.45
"2010-02",NYPD,Investigation Review Section,1,0.65
"2010-02",NYPD,New York City Police Department,20001,2.92
"2010-03",DEP,Department of Environmental Protection,13616,394.69
"2010-03",DOT,Department of Transportation,41636,209.46
"2010-03",DSNY,Department of Sanitation,17940,364.57
"2010-03",HPD,Department of Housing Preservation and Development,64467,322.24
"2010-03",HPD,HPD,1,0.08
"2010-03",NYPD,New York City Police Department,21645,3.01
"2010-04",DEP,Department of Environmental Protection,12420,422.55
"2010-04",DOT,Department of Transportation,28725,250.01
"2010-04",DSNY,Department of Sanitation,17459,707.71
"2010-04",HPD,Department of Housing Preservation and Development,45915,318.38
"2010-04",NYPD,Investigation Review Section,2,0.87
"2010-04",NYPD,New York City Police Department,24492,3.09
"2010-05",DEP,Department of Environmental Protection,13124,367.04
"2010-05",DOT,Department of Transportation,24292,227.20
"2010-05",DSNY,Department of Sanitation,17607,535.56
"2010-05",HPD,Department of Housing Preservation and Development,38417,354.93
"2010-05",NYPD,Investigation Review Section,2,0.58
"2010-05",NYPD,New York City Police Department,28593,2.79
"2010-06",DEP,Department of Environmental Protection,17751,341.49
"2010-06",DOT,Department of Transportation,22127,191.39
"2010-06",DSNY,Department of Sanitation,17286,625.21
"2010-06",HPD,Department of Housing Preservation and Development,37748,355.95
"2010-06",NYPD,New York City Police Department,24779,2.84
"2010-07",DEP,Department of Environmental Protection,24648,190.08
"2010-07",DOT,Department of Transportation,20967,225.70
"2010-07",DOT,DOT,1,733.57
"2010-07",DSNY,Department of Sanitation,16623,1257.20
"2010-07",HPD,Department of Housing Preservation and Development,39847,365.25
"2010-07",NYPD,New York City Police Department,23599,3.10
"2010-08",DEP,Department of Environmental Protection,14571,297.46
"2010-08",DOT,Department of Transportation,21593,234.58
"2010-08",DSNY,Department of Sanitation,16158,459.47
"2010-08",HPD,Department of Housing Preservation and Development,41072,352.06
"2010-08",NYPD,Investigation Review Section,3,0.53
"2010-08",NYPD,New York City Police Department,26033,2.93
"2010-09",DEP,Department of Environmental Protection,12895,341.88
"2010-09",DOT,Department of Transportation,21835,228.80
"2010-09",DSNY,Department of Sanitation,14678,406.23
"2010-09",HPD,Department of Housing Preservation and Development,39723,315.27
"2010-09",NYPD,Investigation Review Section,1,1.45
"2010-09",NYPD,New York City Police Department,26516,2.87
"2010-10",DEP,Department of Environmental Protection,12224,315.11
"2010-10",DOT,Department of Transportation,23464,216.58
"2010-10",DSNY,Department of Sanitation,13567,421.95
"2010-10",HPD,Department of Housing Preservation and Development,61494,324.57
"2010-10",NYPD,Investigation Review Section,6,1.11
"2010-10",NYPD,New York City Police Department,26584,3.04
"2010-11",DEP,Department of Environmental Protection,18395,220.44
"2010-11",DOT,Department of Transportation,20198,219.74
"2010-11",DSNY,Department of Sanitation,12655,599.29
"2010-11",HPD,Department of Housing Preservation and Development,76063,331.13
"2010-11",NYPD,New York City Police Department,22138,2.87
"2010-12",DEP,Department of Environmental Protection,11409,285.20
"2010-12",DOT,Department of Transportation,21256,188.43
"2010-12",DSNY,Department of Sanitation,12149,412.17
"2010-12",HPD,Department of Housing Preservation and Development,90122,339.75
"2010-12",NYPD,New York City Police Department,20944,2.95
"2011-01",DEP,Department of Environmental Protection,10625,286.50
"2011-01",DOT,Department of Transportation,22385,225.28
"2011-01",DSNY,Department of Sanitation,16989,696.05
"2011-01",HPD,Department of Housing Preservation and Development,77918,292.57
"2011-01",HPD,HPD,1,0.15
"2011-01",NYPD,New York City Police Department,23611,2.95
"2011-02",DEP,Department of Environmental Protection,10802,267.51
"2011-02",DOT,Department of Transportation,32173,240.86
"2011-02",DSNY,Department of Sanitation,17332,471.03
"2011-02",HPD,Department of Housing Preservation and Development,48840,206.67
"2011-02",NYPD,New York City Police Department,21791,2.96
"2011-03",DEP,Department of Environmental Protection,12505,328.07
"2011-03",DOT,Department of Transportation,33776,258.00
"2011-03",DSNY,Department of Sanitation,15126,684.15
"2011-03",HPD,Department of Housing Preservation and Development,31413,147.60
"2011-03",NYPD,New York City Police Department,22194,3.06
"2011-04",DEP,Department of Environmental Protection,11778,296.94
"2011-04",DOT,Department of Transportation,26774,296.46
"2011-04",DSNY,Department of Sanitation,14758,911.64
"2011-04",HPD,Department of Housing Preservation and Development,22953,99.89
"2011-04",NYPD,New York City Police Department,22213,3.01
"2011-05",DEP,Department of Environmental Protection,13547,313.55
"2011-05",DOT,Department of Transportation,24647,313.11
"2011-05",DSNY,Department of Sanitation,15696,618.78
"2011-05",HPD,Department of Housing Preservation and Development,16749,126.86
"2011-05",NYPD,New York City Police Department,26359,3.07
"2011-06",DEP,Department of Environmental Protection,16175,251.23
"2011-06",DOT,Department of Transportation,21677,221.73
"2011-06",DOT,DOT,1,986.58
"2011-06",DSNY,Department of Sanitation,19802,469.74
"2011-06",HPD,Department of Housing Preservation and Development,27297,301.53
"2011-06",NYPD,New York City Police Department,25608,3.07
