agency_name,agency_name_es
New York City Police Department,Departamento de Policía de Nueva York
Department of Housing Preservation and Development,Departamento de Preservación y Desarrollo de Vivienda
Department of Sanitation,Departamento de Saneamiento
Department of Transportation,Departamento de Transporte
Department of Environmental Protection,Departamento de Protección Ambiental
Department of Buildings,Departamento de Edificios
Department of Health and Mental Hygiene,Departamento de Salud e Higiene Mental
Department of Parks and Recreation,Departamento de Parques y Recreación
Comisión de Taxi y Limusinas,Comisión de Taxi y Limusinas
Economic Development Corporation,Corporación de Desarrollo Económico
Department of Homeless Services,Departamento de Servicios para Personas sin Hogar
Department of Consumer and Worker Protection,Departamento de Protección al Consumidor y al Trabajador
Mayor's Office of Special Enforcement,Oficina del Alcalde de Cumplimiento Especial
Department for the Aging,Departamento de Ancianos
Personal Exemption Unit,Unidad de Exención Personal
Operations Unit - Department of Homeless Services,Unidad de Operaciones - Departamento de Servicios para Personas Sin Hogar
HRA Benefit Card Replacement,Reemplazo de la tarjeta de beneficios HRA
Senior Citizen Rent Increase Exemption Unit,Unidad de Exención de Aumento de Alquiler para Personas Mayores
DHS Advantage Programs,Programas Ventaja del Departamento de Servicios para Personas sin Hogar
