"borough","year_month","total_complaints","complaints_per_10000"
BRONX,"2010-01",15088,109.28
BRONX,"2010-02",14867,107.68
BRONX,"2010-03",19491,141.17
BRONX,"2010-04",17566,127.23
BRONX,"2010-05",17839,129.20
BRONX,"2010-06",20468,148.24
BRONX,"2010-07",21202,153.56
BRONX,"2010-08",18027,130.56
BRONX,"2010-09",16980,122.98
BRONX,"2010-10",15808,114.49
BRONX,"2010-11",14288,103.48
BRONX,"2010-12",13418,97.18
BRONX,"2011-01",14540,105.31
BRONX,"2011-02",15843,114.75
BRONX,"2011-03",32264,233.68
BRONX,"2011-04",27980,202.65
BRONX,"2011-05",27717,200.75
BRONX,"2011-06",28812,208.68
BRONX,"2011-07",31626,229.06
BRONX,"2011-08",29456,213.34
BRONX,"2011-09",29616,214.50
BRONX,"2011-10",34771,251.84
BRONX,"2011-11",32876,238.11
BRONX,"2011-12",35704,258.59
BRONX,"2012-01",38085,275.84
BRONX,"2012-02",29447,213.28
BRONX,"2012-03",28999,210.03
BRONX,"2012-04",24551,177.82
BRONX,"2012-05",26000,188.31
BRONX,"2012-06",28061,203.24
BRONX,"2012-07",29658,214.80
BRONX,"2012-08",26467,191.69
BRONX,"2012-09",24221,175.43
BRONX,"2012-10",26896,194.80
BRONX,"2012-11",33023,239.18
BRONX,"2012-12",30841,223.37
BRONX,"2013-01",37237,269.70
BRONX,"2013-02",32175,233.03
BRONX,"2013-03",29779,215.68
BRONX,"2013-04",26584,192.54
BRONX,"2013-05",25640,185.70
BRONX,"2013-06",27116,196.39
BRONX,"2013-07",30895,223.76
BRONX,"2013-08",24937,180.61
BRONX,"2013-09",23116,167.42
BRONX,"2013-10",27672,200.42
BRONX,"2013-11",33836,245.06
BRONX,"2013-12",35157,254.63
BRONX,"2014-01",48132,348.61
BRONX,"2014-02",37701,273.06
BRONX,"2014-03",34221,247.85
BRONX,"2014-04",29823,216.00
BRONX,"2014-05",29664,214.85
BRONX,"2014-06",29436,213.20
BRONX,"2014-07",31315,226.81
BRONX,"2014-08",28223,204.41
BRONX,"2014-09",26683,193.26
BRONX,"2014-10",30809,223.14
BRONX,"2014-11",37820,273.92
BRONX,"2014-12",36353,263.29
BRONX,"2015-01",41579,301.15
BRONX,"2015-02",42318,306.50
BRONX,"2015-03",37878,274.34
BRONX,"2015-04",31542,228.45
BRONX,"2015-05",30854,223.47
BRONX,"2015-06",32509,235.45
BRONX,"2015-07",34509,249.94
BRONX,"2015-08",32272,233.74
BRONX,"2015-09",31109,225.31
BRONX,"2015-10",35839,259.57
BRONX,"2015-11",34901,252.78
BRONX,"2015-12",33664,243.82
BRONX,"2016-01",45241,327.67
BRONX,"2016-02",41671,301.81
BRONX,"2016-03",35305,255.70
BRONX,"2016-04",30774,222.89
BRONX,"2016-05",34261,248.14
BRONX,"2016-06",34557,250.29
BRONX,"2016-07",37121,268.86
BRONX,"2016-08",37079,268.55
BRONX,"2016-09",31780,230.17
BRONX,"2016-10",35977,260.57
BRONX,"2016-11",37138,268.98
BRONX,"2016-12",43373,314.14
BRONX,"2017-01",42993,311.39
BRONX,"2017-02",35712,258.65
BRONX,"2017-03",41098,297.66
BRONX,"2017-04",34592,250.54
BRONX,"2017-05",35127,254.41
BRONX,"2017-06",36978,267.82
BRONX,"2017-07",37274,269.97
BRONX,"2017-08",36235,262.44
BRONX,"2017-09",33305,241.22
BRONX,"2017-10",36036,261.00
BRONX,"2017-11",40799,295.50
BRONX,"2017-12",44983,325.80
BRONX,"2018-01",51757,374.86
BRONX,"2018-02",34497,249.85
BRONX,"2018-03",39764,288.00
BRONX,"2018-04",37172,269.23
BRONX,"2018-05",37419,271.02
BRONX,"2018-06",37737,273.32
BRONX,"2018-07",41941,303.77
BRONX,"2018-08",40553,293.71
BRONX,"2018-09",38953,282.13
BRONX,"2018-10",43857,317.64
BRONX,"2018-11",42854,310.38
BRONX,"2018-12",39629,287.02
BRONX,"2019-01",49386,357.69
BRONX,"2019-02",39374,285.17
BRONX,"2019-03",38968,282.23
BRONX,"2019-04",37519,271.74
BRONX,"2019-05",40297,291.86
BRONX,"2019-06",42132,305.15
BRONX,"2019-07",39025,282.65
BRONX,"2019-08",33457,242.32
BRONX,"2019-09",30297,219.43
BRONX,"2019-10",31354,227.09
BRONX,"2019-11",35717,258.69
BRONX,"2019-12",34522,250.03
BRONX,"2020-01",34604,250.63
BRONX,"2020-02",30523,221.07
BRONX,"2020-03",33320,241.33
BRONX,"2020-04",32221,233.37
BRONX,"2020-05",50575,366.30
BRONX,"2020-06",67963,492.24
BRONX,"2020-07",72494,525.05
BRONX,"2020-08",78761,570.44
BRONX,"2020-09",64813,469.42
BRONX,"2020-10",52100,377.35
BRONX,"2020-11",47124,341.31
BRONX,"2020-12",50856,368.34
BRONX,"2021-01",49958,361.83
BRONX,"2021-02",42325,306.55
BRONX,"2021-03",46649,337.87
BRONX,"2021-04",46558,337.21
BRONX,"2021-05",53826,389.85
BRONX,"2021-06",63948,463.16
BRONX,"2021-07",73644,533.38
BRONX,"2021-08",62215,450.61
BRONX,"2021-09",68102,493.24
BRONX,"2021-10",55481,401.83
BRONX,"2021-11",54046,391.44
BRONX,"2021-12",47916,347.04
BRONX,"2022-01",62325,451.40
BRONX,"2022-02",59045,427.65
BRONX,"2022-03",54951,397.99
BRONX,"2022-04",50226,363.77
BRONX,"2022-05",69948,506.61
BRONX,"2022-06",58434,423.22
BRONX,"2022-07",88281,639.39
BRONX,"2022-08",64223,465.15
BRONX,"2022-09",66542,481.94
BRONX,"2022-10",50790,367.86
BRONX,"2022-11",50401,365.04
BRONX,"2022-12",58578,424.26
BRONX,"2023-01",51776,375.00
BRONX,"2023-02",49283,356.94
BRONX,"2023-03",49760,360.40
BRONX,"2023-04",46071,333.68
BRONX,"2023-05",51433,372.51
BRONX,"2023-06",48314,349.92
BRONX,"2023-07",58829,426.08
BRONX,"2023-08",54002,391.12
BRONX,"2023-09",50220,363.73
BRONX,"2023-10",56706,410.71
BRONX,"2023-11",57057,413.25
BRONX,"2023-12",54329,393.49
BRONX,"2024-01",61455,445.10
BRONX,"2024-02",49463,358.25
BRONX,"2024-03",52038,376.90
BRONX,"2024-04",52099,377.34
BRONX,"2024-05",51409,372.34
BRONX,"2024-06",59366,429.97
BRONX,"2024-07",63434,459.43
BRONX,"2024-08",58356,422.66
BRONX,"2024-09",69357,502.33
BRONX,"2024-10",64720,468.75
BRONX,"2024-11",69098,500.46
BRONX,"2024-12",87331,632.51
BROOKLYN,"2010-01",29969,119.66
BROOKLYN,"2010-02",30307,121.00
BROOKLYN,"2010-03",40025,159.81
BROOKLYN,"2010-04",34285,136.89
BROOKLYN,"2010-05",35310,140.98
BROOKLYN,"2010-06",35420,141.42
BROOKLYN,"2010-07",36751,146.73
BROOKLYN,"2010-08",34469,137.62
