"month_year","complaint_type","complaint_count"
"2019-01",Abandoned Vehicle,1
"2019-01",Adopt-A-Basket,2
"2019-01",Advocate-Co-opCondo Abatement,1
"2019-01",Advocate-Personal Exemptions,10
"2019-01",Advocate-Prop Refunds/Credits,38
"2019-01",Advocate-SCRIE/DRIE,1
"2019-01",Advocate - Lien,2
"2019-01",Advocate - Other,20
"2019-01",Advocate - RPIE,1
"2019-01",Air Quality,518
"2019-01",Alzheimer's Care,16
"2019-01",Animal-Abuse,1
"2019-01",Animal Abuse,919
"2019-01",Animal in a Park,134
"2019-01",APPLIANCE,1378
"2019-01",Asbestos,234
"2019-01",Beach/Pool/Sauna Complaint,13
"2019-01",Benefit Card Replacement,1012
"2019-01",Bereavement Support Group,2
"2019-01",BEST/Site Safety,156
"2019-01",Bike Rack Condition,8
"2019-01",Bike/Roller/Skate Chronic,25
"2019-01",Blocked Driveway,11393
"2019-01",Boilers,327
"2019-01",Borough Office,432
"2019-01",Bottled Water,1
"2019-01",Bridge Condition,25
"2019-01",Broken Parking Meter,1115
"2019-01",Building Marshals office,95
"2019-01",Building/Use,2156
"2019-01",Bus Stop Shelter Complaint,62
"2019-01",Bus Stop Shelter Placement,16
"2019-01",Calorie Labeling,1
"2019-01",Case Management Agency Complaint,1
"2019-01",Collection Truck Noise,42
"2019-01",Construction Safety Enforcement,239
"2019-01",Consumer Complaint,1113
"2019-01",Cranes and Derricks,23
"2019-01",Curb Condition,410
"2019-01",Damaged Tree,918
"2019-01",Day Care,41
"2019-01",DCA / DOH New License Application Request,108
"2019-01",Dead/Dying Tree,242
"2019-01",Derelict Bicycle,197
"2019-01",Derelict Vehicle,3327
"2019-01",Derelict Vehicles,3087
"2019-01",Dirty Conditions,2669
"2019-01",Disorderly Youth,2
"2019-01",DOF Parking - DMV Clearance,7
"2019-01",DOF Parking - Payment Issue,431
"2019-01",DOF Parking - Request Copy,59
"2019-01",DOF Parking - Request Status,56
"2019-01",DOF Parking - Tax Exemption,51
"2019-01",DOF Property - Owner Issue,180
"2019-01",DOF Property - Payment Issue,596
"2019-01",DOF Property - Property Value,94
"2019-01",DOF Property - Reduction Issue,1197
"2019-01",DOF Property - Request Copy,743
"2019-01",DOF Property - RPIE Issue,28
"2019-01",DOF Property - Update Account,558
"2019-01",DOOR/WINDOW,3998
"2019-01",DPR Internal,104
"2019-01",DRIE,101
"2019-01",Drinking,53
"2019-01",Drinking Water,14
"2019-01",Drug Activity,127
"2019-01",Elder Abuse,29
"2019-01",ELECTRIC,2398
"2019-01",Electrical,268
"2019-01",Electronics Waste,1
"2019-01",Electronics Waste Appointment,3365
"2019-01",Elevator,1308
"2019-01",ELEVATOR,110
"2019-01",Emergency Response Team (ERT),431
"2019-01",Executive Inspections,27
"2019-01",Facades,33
"2019-01",FATF,15
"2019-01",Ferry Complaint,12
"2019-01",Ferry Inquiry,43
"2019-01",Ferry Permit,3
"2019-01",FLOORING/STAIRS,2134
"2019-01",Foam Ban Enforcement,7
"2019-01",Food Establishment,793
"2019-01",Food Poisoning,260
"2019-01",For Hire Vehicle Complaint,743
"2019-01",For Hire Vehicle Report,30
"2019-01",Forensic Engineering,1
"2019-01",Found Property,16
"2019-01",GENERAL,2328
"2019-01",General Construction/Plumbing,3951
"2019-01",Graffiti,2879
"2019-01",Hazardous Materials,194
