"month_year","borough","complaint_type","rank","complaint_count"
"2010-01",BRONX,Noise - Residential,1,2997
"2010-01",BRONX,Street Light Condition,2,1568
"2010-01",BRONX,Street Condition,3,1005
"2010-01",BRONX,DHS Advantage - Tenant,4,823
"2010-01",BRONX,Traffic Signal Condition,5,739
"2010-01",BRONX,Blocked Driveway,6,595
"2010-01",BRONX,Literature Request,7,536
"2010-01",BRONX,Water System,8,448
"2010-01",BRONX,Dirty Conditions,9,436
"2010-01",BRONX,General Construction/Plumbing,10,412
"2010-01",BROOKLYN,Noise - Residential,1,2794
"2010-01",BROOKLYN,Street Condition,2,2738
"2010-01",BROOKLYN,Street Light Condition,3,2468
"2010-01",BROOKLYN,Literature Request,4,1781
"2010-01",BROOKLYN,Blocked Driveway,5,1498
"2010-01",BROOKLYN,Traffic Signal Condition,6,1447
"2010-01",BROOKLYN,General Construction/Plumbing,7,1322
"2010-01",BROOKLYN,Water System,8,1308
"2010-01",BROOKLYN,Sewer,9,842
"2010-01",BROOKLYN,Sanitation Condition,10,824
"2010-01",MANHATTAN,Noise - Residential,1,2290
"2010-01",MANHATTAN,Street Condition,2,1768
"2010-01",MANHATTAN,Traffic Signal Condition,3,1334
"2010-01",MANHATTAN,General Construction/Plumbing,4,1046
"2010-01",MANHATTAN,Graffiti,5,950
"2010-01",MANHATTAN,Noise,6,945
"2010-01",MANHATTAN,Taxi Complaint,7,941
"2010-01",MANHATTAN,Street Light Condition,8,849
"2010-01",MANHATTAN,Broken Muni Meter,9,778
"2010-01",MANHATTAN,Noise - Commercial,10,700
"2010-01",QUEENS,Street Light Condition,1,3175
"2010-01",QUEENS,Street Condition,2,2511
"2010-01",QUEENS,Literature Request,3,2021
"2010-01",QUEENS,Water System,4,1827
"2010-01",QUEENS,Noise - Residential,5,1637
"2010-01",QUEENS,Blocked Driveway,6,1545
"2010-01",QUEENS,Sewer,7,1380
"2010-01",QUEENS,Traffic Signal Condition,8,1330
"2010-01",QUEENS,Building/Use,9,1228
"2010-01",QUEENS,General Construction/Plumbing,10,1162
"2010-01",STATEN ISLAND,Street Condition,1,1278
"2010-01",STATEN ISLAND,Street Light Condition,2,784
"2010-01",STATEN ISLAND,Literature Request,3,621
"2010-01",STATEN ISLAND,Water System,4,575
"2010-01",STATEN ISLAND,Missed Collection (All Materials),5,373
"2010-01",STATEN ISLAND,Sewer,6,326
"2010-01",STATEN ISLAND,Noise - Residential,7,201
"2010-01",STATEN ISLAND,Traffic/Illegal Parking,8,195
"2010-01",STATEN ISLAND,General Construction/Plumbing,9,192
"2010-01",STATEN ISLAND,Dirty Conditions,10,189
"2010-02",BRONX,Noise - Residential,1,2802
"2010-02",BRONX,Street Condition,2,1434
"2010-02",BRONX,Street Light Condition,3,1408
"2010-02",BRONX,DHS Advantage - Tenant,4,805
"2010-02",BRONX,Traffic Signal Condition,5,786
"2010-02",BRONX,Snow,6,688
"2010-02",BRONX,Blocked Driveway,7,657
"2010-02",BRONX,Literature Request,8,453
"2010-02",BRONX,Dirty Conditions,9,360
"2010-02",BRONX,General Construction/Plumbing,10,349
"2010-02",BROOKLYN,Snow,1,3097
"2010-02",BROOKLYN,Noise - Residential,2,2671
"2010-02",BROOKLYN,Street Condition,3,2659
"2010-02",BROOKLYN,Street Light Condition,4,2233
"2010-02",BROOKLYN,Literature Request,5,1680
"2010-02",BROOKLYN,Blocked Driveway,6,1671
"2010-02",BROOKLYN,Traffic Signal Condition,7,1265
"2010-02",BROOKLYN,General Construction/Plumbing,8,1249
"2010-02",BROOKLYN,Sewer,9,848
"2010-02",BROOKLYN,Traffic/Illegal Parking,10,718
"2010-02",MANHATTAN,Noise - Residential,1,2244
"2010-02",MANHATTAN,Street Condition,2,1594
"2010-02",MANHATTAN,Traffic Signal Condition,3,1130
