"month_year","complaint_type","rank","cantidad_reclamos"
"2010-01",HEATING,1,40213
"2010-01",GENERAL CONSTRUCTION,2,12119
"2010-01",PLUMBING,3,10720
"2010-01",Noise - Residential,4,9919
"2010-01",Street Condition,5,9300
"2010-01",Street Light Condition,6,9028
"2010-01",PAINT - PLASTER,7,7967
"2010-01",Literature Request,8,5616
"2010-01",NONCONST,9,5190
"2010-01",Traffic Signal Condition,10,5031
"2010-02",HEATING,1,24616
"2010-02",GENERAL CONSTRUCTION,2,9913
"2010-02",Street Condition,3,9631
"2010-02",Noise - Residential,4,9435
"2010-02",PLUMBING,5,9332
"2010-02",Snow,6,8553
"2010-02",Street Light Condition,7,8120
"2010-02",PAINT - PLASTER,8,7016
"2010-02",Literature Request,9,4936
"2010-02",Traffic Signal Condition,10,4819
"2010-03",Street Condition,1,19943
"2010-03",HEATING,2,17621
"2010-03",PLUMBING,3,13239
"2010-03",GENERAL CONSTRUCTION,4,12531
"2010-03",Street Light Condition,5,11500
"2010-03",PAINT - PLASTER,6,10589
"2010-03",Noise - Residential,7,9179
"2010-03",Traffic Signal Condition,8,6662
"2010-03",Literature Request,9,6404
"2010-03",Damaged Tree,10,6032
"2010-04",Street Condition,1,12024
"2010-04",Street Light Condition,2,11452
"2010-04",Noise - Residential,3,10387
"2010-04",GENERAL CONSTRUCTION,4,10179
"2010-04",HEATING,5,9779
"2010-04",PLUMBING,6,8784
"2010-04",PAINT - PLASTER,7,7940
"2010-04",Literature Request,8,6013
"2010-04",General Construction/Plumbing,9,4972
"2010-04",NONCONST,10,4735
"2010-05",Noise - Residential,1,11389
"2010-05",Street Light Condition,2,9631
"2010-05",GENERAL CONSTRUCTION,3,9031
"2010-05",Street Condition,4,8467
"2010-05",PLUMBING,5,7492
"2010-05",PAINT - PLASTER,6,6852
"2010-05",HEATING,7,5940
"2010-05",Literature Request,8,5130
"2010-05",NONCONST,9,4803
"2010-05",General Construction/Plumbing,10,4672
"2010-06",Street Light Condition,1,10509
"2010-06",Water System,2,9780
"2010-06",GENERAL CONSTRUCTION,3,9624
"2010-06",Noise - Residential,4,8361
"2010-06",Street Condition,5,7825
"2010-06",PLUMBING,6,7705
"2010-06",PAINT - PLASTER,7,7174
"2010-06",NONCONST,8,6049
"2010-06",Literature Request,9,5660
"2010-06",General Construction/Plumbing,10,4727
"2010-07",Water System,1,17751
"2010-07",GENERAL CONSTRUCTION,2,9607
"2010-07",Street Light Condition,3,9272
"2010-07",PLUMBING,4,8532
"2010-07",Noise - Residential,5,8275
"2010-07",PAINT - PLASTER,6,7246
"2010-07",NONCONST,7,6745
"2010-07",Street Condition,8,6458
"2010-07",General Construction/Plumbing,9,4642
"2010-07",Literature Request,10,4198
"2010-08",GENERAL CONSTRUCTION,1,10503
"2010-08",Noise - Residential,2,9613
"2010-08",Street Light Condition,3,9254
"2010-08",PLUMBING,4,8465
"2010-08",PAINT - PLASTER,5,7647
"2010-08",NONCONST,6,7147
"2010-08",Water System,7,6933
"2010-08",Street Condition,8,6471
"2010-08",General Construction/Plumbing,9,5237
"2010-08",Literature Request,10,4684
"2010-09",Damaged Tree,1,11296
"2010-09",Noise - Residential,2,10172
"2010-09",GENERAL CONSTRUCTION,3,10069
"2010-09",Street Light Condition,4,10042
"2010-09",PLUMBING,5,8384
"2010-09",PAINT - PLASTER,6,7244
"2010-09",NONCONST,7,6867
"2010-09",Street Condition,8,6140
"2010-09",General Construction/Plumbing,9,4810
"2010-09",Water System,10,4438
"2010-10",HEATING,1,19525
"2010-10",GENERAL CONSTRUCTION,2,11475
"2010-10",Noise - Residential,3,10732
"2010-10",Street Light Condition,4,10342
"2010-10",PLUMBING,5,9756
"2010-10",PAINT - PLASTER,6,8454
"2010-10",NONCONST,7,6769
"2010-10",Street Condition,8,6296
"2010-10",Blocked Driveway,9,4730
"2010-10",General Construction/Plumbing,10,4366
"2010-11",HEATING,1,37305
"2010-11",GENERAL CONSTRUCTION,2,10788
"2010-11",Noise - Residential,3,9554
"2010-11",PLUMBING,4,9096
"2010-11",Street Light Condition,5,8703
"2010-11",Lead,6,7885
"2010-11",PAINT - PLASTER,7,7506
"2010-11",NONCONST,8,6565
"2010-11",Street Condition,9,5502
"2010-11",Blocked Driveway,10,4495
"2010-12",HEATING,1,51431
"2010-12",GENERAL CONSTRUCTION,2,11279
"2010-12",PLUMBING,3,9999
"2010-12",Noise - Residential,4,8616
"2010-12",Street Light Condition,5,8613
"2010-12",PAINT - PLASTER,6,7551
"2010-12",Traffic Signal Condition,7,5857
"2010-12",NONCONST,8,5393
"2010-12",Street Condition,9,5161
"2010-12",Blocked Driveway,10,4920
"2011-01",HEATING,1,39659
"2011-01",GENERAL CONSTRUCTION,2,11573
"2011-01",PLUMBING,3,10560
"2011-01",Noise - Residential,4,9455
"2011-01",Snow,5,8655
"2011-01",PAINT - PLASTER,6,8409
"2011-01",Street Light Condition,7,8000
"2011-01",Street Condition,8,7382
"2011-01",Blocked Driveway,9,6761
"2011-01",Traffic Signal Condition,10,5793
"2011-02",HEATING,1,24690
"2011-02",Street Condition,2,16037
"2011-02",GENERAL CONSTRUCTION,3,9513
"2011-02",Noise - Residential,4,8692
"2011-02",PLUMBING,5,8593
"2011-02",Street Light Condition,6,7971
"2011-02",PAINT - PLASTER,7,7102
"2011-02",Blocked Driveway,8,5216
"2011-02",Traffic Signal Condition,9,4758
"2011-02",NONCONST,10,4550
"2011-03",HEATING,1,21762
"2011-03",Street Condition,2,15993
"2011-03",GENERAL CONSTRUCTION,3,11906
"2011-03",PLUMBING,4,10152
"2011-03",Street Light Condition,5,9775
"2011-03",Noise - Residential,6,9276
"2011-03",PAINT - PLASTER,7,8938
"2011-03",NONCONST,8,5264
