"complaint_type","total_complaints"
Noise - Residential,3631422
Illegal Parking,2814842
HEAT/HOT WATER,2354802
Blocked Driveway,1681892
Noise - Street/Sidewalk,1326728
Street Condition,1271731
Request Large Bulky Item Collection,1071752
PLUMBING,958720
UNSANITARY CONDITION,934539
Water System,929443
Street Light Condition,885097
HEATING,879580
Noise,722805
General Construction/Plumbing,681632
Noise - Commercial,643917
Traffic Signal Condition,624309
PAINT/PLASTER,604677
Noise - Vehicle,548022
Sewer,504419
GENERAL CONSTRUCTION,473110
Derelict Vehicles,434169
Rodent,430102
ELECTRIC,422486
Dirty Conditions,416866
DOOR/WINDOW,396261
Damaged Tree,392980
Sanitation Condition,382651
WATER LEAK,373796
Sidewalk Condition,372874
Building/Use,362443
Missed Collection (All Materials),343574
PAINT - PLASTER,340936
Abandoned Vehicle,304469
Literature Request,301433
Consumer Complaint,284711
GENERAL,282984
FLOORING/STAIRS,249956
NONCONST,246925
Homeless Person Assistance,242445
Non-Emergency Police Matter,234229
Graffiti,231288
Maintenance or Facility,210664
Derelict Vehicle,207138
APPLIANCE,204381
Elevator,189189
Overgrown Tree/Branches,188688
Taxi Complaint,179262
Missed Collection,177213
Broken Muni Meter,172113
New Tree Request,162797
Dirty Condition,162743
Encampment,147026
Noise - Helicopter,138704
Air Quality,122894
Lead,119855
Food Establishment,118659
Benefit Card Replacement,113957
Root/Sewer/Sidewalk Condition,112872
For Hire Vehicle Complaint,109115
Illegal Dumping,109019
DOF Property - Reduction Issue,108500
Illegal Fireworks,104243
SAFETY,103134
Street Sign - Damaged,98586
Snow,88105
Electronics Waste Appointment,87668
SCRIE,87624
Noise - Park,76963
Broken Parking Meter,76065
Curb Condition,74724
Other Enforcement,73914
DOF Parking - Payment Issue,72497
Traffic,70783
Indoor Air Quality,70652
Street Sign - Missing,70451
Plumbing,66717
NonCompliance with Phased Reopening,66317
Drug Activity,66104
Dead/Dying Tree,64610
DOF Property - Owner Issue,63830
DOF Property - Request Copy,61184
Highway Condition,59476
Special Projects Inspection Team (SPIT),58279
Emergency Response Team (ERT),58051
Water Conservation,57307
Animal Abuse,52150
HPD Literature Request,51752
Housing - Low Income Senior,51516
DOF Property - Payment Issue,51247
Obstruction,50573
Vending,46584
Electrical,46578
Violation of Park Rules,43519
Animal-Abuse,43006
Dead Tree,42934
Street Sign - Dangling,41716
DHS Advantage - Tenant,40925
Vendor Enforcement,39935
Animal in a Park,39814
Homeless Encampment,38198
Illegal Tree Damage,38048
Lost Property,36391
Panhandling,35775
Hazardous Materials,35642
Residential Disposal Complaint,35269
Boilers,33152
Dead Animal,32887
Food Poisoning,31420
Construction Safety Enforcement,31239
Drinking,30984
DHS Advantage -Landlord/Broker,30693
Litter Basket / Request,30080
Unsanitary Animal Pvt Property,27418
Construction,27245
Street Sweeping Complaint,26924
Electronics Waste,26438
DCA / DOH New License Application Request,26243
Outdoor Dining,26195
Asbestos,25932
Vacant Lot,24316
School Maintenance,24231
Standing Water,23789
Real Time Enforcement,22902
DOF Property - Update Account,21605
BEST/Site Safety,21470
Water Quality,21231
Smoking,19775
Mobile Food Vendor,19617
Bus Stop Shelter Complaint,18638
Bike/Roller/Skate Chronic,18517
Housing Options,18078
Industrial Waste,18066
Noise - House of Worship,16595
Overflowing Litter Baskets,16592
Noise Survey,16302
Derelict Bicycle,15820
Miscellaneous Categories,15611
Homeless Street Condition,15583
ELEVATOR,14877
Traffic/Illegal Parking,14047
Investigations and Discipline (IAD),12766
Taxi Report,12675
Indoor Sewage,12140
Illegal Posting,11703
OUTSIDE BUILDING,11634
Litter Basket Request,11399
Snow or Ice,11330
DOF Parking - Request Status,10330
Unsanitary Pigeon Condition,9908
Urinating in Public,9896
Sanitation Worker or Vehicle Complaint,9772
DOF Parking - Request Copy,9481
Sweeping/Missed,9452
Recycling Enforcement,9308
DPR Internal,9294
Commercial Disposal Complaint,8957
OEM Literature Request,8196
Day Care,8188
Borough Office,8072
Vaccine Mandate Non-Compliance,7399
COVID-19 Non-essential Construction,7322
Building Marshals office,7116
DOF Parking - Tax Exemption,6952
Bridge Condition,6751
Abandoned Bike,6681
Ferry Inquiry,6673
Unleashed Dog,6669
